disease,description
Arthritis,"Arthritis is a condition that affects your joints, causing pain, stiffness, swelling, and decreased range of motion. There are many types of arthritis, including osteoarthritis (caused by wear and tear on the joints) and rheumatoid arthritis (an autoimmune disease). Arthritis can make it difficult to perform daily activities and can affect your quality of life."
Acne,"Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells. It can cause pimples, blackheads, whiteheads, and sometimes cysts or nodules. Acne usually appears on the face, chest, back, and shoulders and can affect people of all ages, but it is most common in teenagers."
Bronchial Asthma,"Bronchial asthma, often referred to simply as asthma, is a chronic lung condition that causes inflammation and narrowing of the airways. This can lead to symptoms such as wheezing, shortness of breath, coughing, and chest tightness. Asthma symptoms can vary in severity and may be triggered by factors like allergies, exercise, or exposure to irritants."
Hypertension,"Hypertension, also known as high blood pressure, is a condition in which the force of blood against the walls of the arteries is consistently too high. It often has no symptoms but can increase the risk of serious health problems such as heart disease, stroke, and kidney damage if left untreated. Lifestyle changes and medication can help manage hypertension."
Migraine,"Migraine is a type of headache disorder characterized by recurring episodes of moderate to severe head pain, often accompanied by other symptoms such as nausea, vomiting, and sensitivity to light and sound. Migraine attacks can last for hours to days and can significantly impact daily activities. Triggers for migraines can vary and may include stress, certain foods, hormonal changes, and environmental factors."
Cervical Spondylosis,"Cervical spondylosis, also known as neck arthritis, is a condition that occurs due to wear and tear of the bones and cartilage in the neck (cervical spine). It can cause neck pain, stiffness, and sometimes numbness or weakness in the arms or hands. Cervical spondylosis is common in older adults and can be managed with pain relief measures and physical therapy."
Jaundice,"Jaundice is a condition characterized by yellowing of the skin and whites of the eyes, caused by elevated levels of bilirubin in the blood. Bilirubin is a yellow pigment produced when red blood cells break down. Jaundice can occur due to various underlying conditions, such as liver disease, hepatitis, or obstruction of the bile ducts. Symptoms may also include dark urine, pale stools, and fatigue."
Malaria,"Malaria is a serious and sometimes fatal mosquito-borne infectious disease caused by parasites of the Plasmodium species. It is transmitted to humans through the bite of infected female Anopheles mosquitoes. Malaria symptoms typically include fever, chills, sweats, headache, muscle aches, and fatigue. If left untreated, malaria can lead to severe complications, such as organ failure and death."
Urinary Tract Infection,"Urinary tract infection (UTI) is a common infection that can affect any part of the urinary system, including the kidneys, bladder, ureters, and urethra. It is usually caused by bacteria entering the urinary tract and can lead to symptoms such as a frequent urge to urinate, burning sensation during urination, cloudy or strong-smelling urine, and pelvic pain. UTIs are typically treated with antibiotics."
Allergy,"An allergy is an immune system response to a substance that is normally harmless, such as pollen, dust mites, pet dander, or certain foods. When a person with an allergy is exposed to an allergen, their immune system overreacts, leading to symptoms such as sneezing, runny or stuffy nose, itching, watery eyes, and skin rash. Allergies can vary in severity and may require treatment with antihistamines, nasal corticosteroids, or allergy shots."
Gastroesophageal Reflux Disease,"Gastroesophageal Reflux Disease (GERD) is a chronic condition where stomach acid flows back into the esophagus, causing irritation and inflammation. This can lead to symptoms such as heartburn, regurgitation of stomach contents into the throat, chest pain, difficulty swallowing, and chronic cough. GERD can be managed with lifestyle changes, medication, and in some cases, surgery."
Drug Reaction,"A drug reaction is an adverse response or side effect caused by taking a medication or drug. These reactions can vary widely in severity and may manifest as symptoms such as rash, itching, swelling, dizziness, nausea, vomiting, diarrhea, or difficulty breathing. Drug reactions can occur due to various factors, including individual sensitivity, dosage, and interactions with other medications."
Peptic Ulcer Disease,"Peptic ulcer disease (PUD) is a condition characterized by open sores (ulcers) in the lining of the stomach, small intestine, or esophagus. These ulcers can cause abdominal pain, bloating, nausea, vomiting, and heartburn. Peptic ulcers are often caused by infection with Helicobacter pylori bacteria or long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs). Treatment may include medications to reduce stomach acid production, antibiotics to kill H. pylori, and lifestyle changes."
Diabetes,"Diabetes is a chronic condition that affects how your body regulates blood sugar (glucose). There are two main types: type 1 diabetes, where the body does not produce insulin, and type 2 diabetes, where the body does not use insulin properly. Symptoms of diabetes may include increased thirst, frequent urination, fatigue, blurred vision, and slow wound healing. Diabetes management involves blood sugar monitoring, medication, healthy eating, regular exercise, and lifestyle modifications."
